OrderID;CustomerID;Freight;ShippingTier;ContactName;Country
10303;GODOS;107.8300;Premium;José Pedro Freyre;Spain
10304;TORTU;63.7900;Standard;Miguel Angel Paolino;Mexico
10305;OLDWO;257.6200;Premium;Rene Phillips;USA
10306;ROMEY;7.5600;Economy;Alejandra Camino;Spain
10307;LONEP;0.5600;Economy;Fran Wilson;USA
10308;ANATR;1.6100;Economy;Ana Trujillo;Mexico
10309;HUNGO;47.3000;Economy;Patricia McKenna;Ireland
10310;THEBI;17.5200;Economy;Liz Nixon;USA
10311;DUMON;24.6900;Economy;Janine Labrune;France
10312;WANDK;40.2600;Economy;Rita Müller;Germany
10313;QUICK;1.9600;Economy;Horst Kloss;Germany
10314;RATTC;74.1600;Standard;Paula Wilson;USA
10315;ISLAT;41.7600;Economy;Helen Bennett;UK
10316;RATTC;150.1500;Premium;Paula Wilson;USA
10317;LONEP;12.6900;Economy;Fran Wilson;USA
10318;ISLAT;4.7300;Economy;Helen Bennett;UK
10319;TORTU;64.5000;Standard;Miguel Angel Paolino;Mexico
10320;WARTH;34.5700;Economy;Pirkko Koskitalo;Finland
10321;ISLAT;3.4300;Economy;Helen Bennett;UK
10322;PERIC;0.4000;Economy;Guillermo Fernández;Mexico
10323;KOENE;4.8800;Economy;Philip Cramer;Germany
10324;SAVEA;214.2700;Premium;Jose Pavarotti;USA
10325;KOENE;64.8600;Standard;Philip Cramer;Germany
10326;BOLID;77.9200;Standard;Martín Sommer;Spain
10327;FOLKO;63.3600;Standard;Maria Larsson;Sweden
10328;FURIB;87.0300;Standard;Lino Rodriguez;Portugal
10329;SPLIR;191.6700;Premium;Art Braunschweiger;USA
10330;LILAS;12.7500;Economy;Carlos González;Venezuela
10331;BONAP;10.1900;Economy;Laurence Lebihan;France
10332;MEREP;52.8400;Standard;Jean Fresniere;Canada
10333;WARTH;0.5900;Economy;Pirkko Koskitalo;Finland
10334;VICTE;8.5600;Economy;Mary Saveley;France
10335;HUNGO;42.1100;Economy;Patricia McKenna;Ireland
10336;PRINI;15.5100;Economy;Isabel de Castro;Portugal
10337;FRANK;108.2600;Premium;Peter Franken;Germany
10338;OLDWO;84.2100;Standard;Rene Phillips;USA
10339;MEREP;15.6600;Economy;Jean Fresniere;Canada
10340;BONAP;166.3100;Premium;Laurence Lebihan;France
10341;SIMOB;26.7800;Economy;Jytte Petersen;Denmark
10342;FRANK;54.8300;Standard;Peter Franken;Germany
10343;LEHMS;110.3700;Premium;Renate Messner;Germany
10344;WHITC;23.2900;Economy;Karl Jablonski;USA
10345;QUICK;249.0600;Premium;Horst Kloss;Germany
10346;RATTC;142.0800;Premium;Paula Wilson;USA
10347;FAMIA;3.1000;Economy;Aria Cruz;Brazil
10348;WANDK;0.7800;Economy;Rita Müller;Germany
10349;SPLIR;8.6300;Economy;Art Braunschweiger;USA
10350;LAMAI;64.1900;Standard;Annette Roulet;France
10351;ERNSH;162.3300;Premium;Roland Mendel;Austria
10352;FURIB;1.3000;Economy;Lino Rodriguez;Portugal
10353;PICCO;360.6300;Premium;Georg Pipps;Austria
10354;PERIC;53.8000;Standard;Guillermo Fernández;Mexico
10355;AROUT;41.9500;Economy;Thomas Hardy;UK
10356;WANDK;36.7100;Economy;Rita Müller;Germany
10357;LILAS;34.8800;Economy;Carlos González;Venezuela
10358;LAMAI;19.6400;Economy;Annette Roulet;France
10359;SEVES;288.4300;Premium;Hari Kumar;UK
10360;BLONP;131.7000;Premium;Frédérique Citeaux;France
10361;QUICK;183.1700;Premium;Horst Kloss;Germany
10362;BONAP;96.0400;Standard;Laurence Lebihan;France
10363;DRACD;30.5400;Economy;Sven Ottlieb;Germany
10364;EASTC;71.9700;Standard;Ann Devon;UK
10365;ANTON;22.0000;Economy;Antonio Moreno;Mexico
10366;GALED;10.1400;Economy;Eduardo Saavedra;Spain
10367;VAFFE;13.5500;Economy;Palle Ibsen;Denmark
10368;ERNSH;101.9500;Premium;Roland Mendel;Austria
10369;SPLIR;195.6800;Premium;Art Braunschweiger;USA
10370;CHOPS;1.1700;Economy;Yang Wang;Switzerland
10371;LAMAI;0.4500;Economy;Annette Roulet;France
10372;QUEEN;890.7800;Premium;Lúcia Carvalho;Brazil
10373;HUNGO;124.1200;Premium;Patricia McKenna;Ireland
10374;WOLZA;3.9400;Economy;Zbyszek Piestrzeniewicz;Poland
10375;HUNGC;20.1200;Economy;Yoshi Latimer;USA
10376;MEREP;20.3900;Economy;Jean Fresniere;Canada
10377;SEVES;22.2100;Economy;Hari Kumar;UK
10378;FOLKO;5.4400;Economy;Maria Larsson;Sweden
10379;QUEDE;45.0300;Economy;Bernardo Batista;Brazil
10380;HUNGO;35.0300;Economy;Patricia McKenna;Ireland
10381;LILAS;7.9900;Economy;Carlos González;Venezuela
10382;ERNSH;94.7700;Standard;Roland Mendel;Austria
10383;AROUT;34.2400;Economy;Thomas Hardy;UK
10384;BERGS;168.6400;Premium;Christina Berglund;Sweden
10385;SPLIR;30.9600;Economy;Art Braunschweiger;USA
10386;FAMIA;13.9900;Economy;Aria Cruz;Brazil
10387;SANTG;93.6300;Standard;Jonas Bergulfsen;Norway
10388;SEVES;34.8600;Economy;Hari Kumar;UK
10389;BOTTM;47.4200;Economy;Elizabeth Lincoln;Canada
10390;ERNSH;126.3800;Premium;Roland Mendel;Austria
10391;DRACD;5.4500;Economy;Sven Ottlieb;Germany
10392;PICCO;122.4600;Premium;Georg Pipps;Austria
10393;SAVEA;126.5600;Premium;Jose Pavarotti;USA
10394;HUNGC;30.3400;Economy;Yoshi Latimer;USA
10395;HILAA;184.4100;Premium;Carlos Hernández;Venezuela
10396;FRANK;135.3500;Premium;Peter Franken;Germany
10397;PRINI;60.2600;Standard;Isabel de Castro;Portugal
10398;SAVEA;89.1600;Standard;Jose Pavarotti;USA
10399;VAFFE;27.3600;Economy;Palle Ibsen;Denmark
10400;EASTC;83.9300;Standard;Ann Devon;UK
10401;RATTC;12.5100;Economy;Paula Wilson;USA
10402;ERNSH;67.8800;Standard;Roland Mendel;Austria
10403;ERNSH;73.7900;Standard;Roland Mendel;Austria
10404;MAGAA;155.9700;Premium;Giovanni Rovelli;Italy
10405;LINOD;34.8200;Economy;Felipe Izquierdo;Venezuela
10406;QUEEN;108.0400;Premium;Lúcia Carvalho;Brazil
10407;OTTIK;91.4800;Standard;Henriette Pfalzheim;Germany
10408;FOLIG;11.2600;Economy;Martine Rancé;France
10409;OCEAN;29.8300;Economy;Yvonne Moncada;Argentina
10410;BOTTM;2.4000;Economy;Elizabeth Lincoln;Canada
10411;BOTTM;23.6500;Economy;Elizabeth Lincoln;Canada
10412;WARTH;3.7700;Economy;Pirkko Koskitalo;Finland
10413;LAMAI;95.6600;Standard;Annette Roulet;France
10414;FAMIA;21.4800;Economy;Aria Cruz;Brazil
10415;HUNGC;0.2000;Economy;Yoshi Latimer;USA
10416;WARTH;22.7200;Economy;Pirkko Koskitalo;Finland
10417;SIMOB;70.2900;Standard;Jytte Petersen;Denmark
10418;QUICK;17.5500;Economy;Horst Kloss;Germany
10419;RICSU;137.3500;Premium;Michael Holz;Switzerland
10420;WELLI;44.1200;Economy;Paula Parente;Brazil
10421;QUEDE;99.2300;Standard;Bernardo Batista;Brazil
10422;FRANS;3.0200;Economy;Paolo Accorti;Italy
10423;GOURL;24.5000;Economy;André Fonseca;Brazil
10424;MEREP;370.6100;Premium;Jean Fresniere;Canada
10425;LAMAI;7.9300;Economy;Annette Roulet;France
10426;GALED;18.6900;Economy;Eduardo Saavedra;Spain
10427;PICCO;31.2900;Economy;Georg Pipps;Austria
10428;REGGC;11.0900;Economy;Maurizio Moroni;Italy
10429;HUNGO;56.6300;Standard;Patricia McKenna;Ireland
10430;ERNSH;458.7800;Premium;Roland Mendel;Austria
10431;BOTTM;44.1700;Economy;Elizabeth Lincoln;Canada
10432;SPLIR;4.3400;Economy;Art Braunschweiger;USA
10433;PRINI;73.8300;Standard;Isabel de Castro;Portugal
10434;FOLKO;17.9200;Economy;Maria Larsson;Sweden
10435;CONSH;9.2100;Economy;Elizabeth Brown;UK
10436;BLONP;156.6600;Premium;Frédérique Citeaux;France
10437;WARTH;19.9700;Economy;Pirkko Koskitalo;Finland
10438;TOMSP;8.2400;Economy;Karin Josephs;Germany
10439;MEREP;4.0700;Economy;Jean Fresniere;Canada
10440;SAVEA;86.5300;Standard;Jose Pavarotti;USA
10441;OLDWO;73.0200;Standard;Rene Phillips;USA
10442;ERNSH;47.9400;Economy;Roland Mendel;Austria
10443;REGGC;13.9500;Economy;Maurizio Moroni;Italy
10444;BERGS;3.5000;Economy;Christina Berglund;Sweden
10445;BERGS;9.3000;Economy;Christina Berglund;Sweden
10446;TOMSP;14.6800;Economy;Karin Josephs;Germany
10447;RICAR;68.6600;Standard;Janete Limeira;Brazil
10448;RANCH;38.8200;Economy;Sergio Gutiérrez;Argentina
10449;BLONP;53.3000;Standard;Frédérique Citeaux;France
10450;VICTE;7.2300;Economy;Mary Saveley;France
10451;QUICK;189.0900;Premium;Horst Kloss;Germany
10452;SAVEA;140.2600;Premium;Jose Pavarotti;USA
10453;AROUT;25.3600;Economy;Thomas Hardy;UK
10454;LAMAI;2.7400;Economy;Annette Roulet;France
10455;WARTH;180.4500;Premium;Pirkko Koskitalo;Finland
10456;KOENE;8.1200;Economy;Philip Cramer;Germany
10457;KOENE;11.5700;Economy;Philip Cramer;Germany
10458;SUPRD;147.0600;Premium;Pascale Cartrain;Belgium
10459;VICTE;25.0900;Economy;Mary Saveley;France
10460;FOLKO;16.2700;Economy;Maria Larsson;Sweden
10461;LILAS;148.6100;Premium;Carlos González;Venezuela
10462;CONSH;6.1700;Economy;Elizabeth Brown;UK
10463;SUPRD;14.7800;Economy;Pascale Cartrain;Belgium
10464;FURIB;89.0000;Standard;Lino Rodriguez;Portugal
10465;VAFFE;145.0400;Premium;Palle Ibsen;Denmark
10466;COMMI;11.9300;Economy;Pedro Afonso;Brazil
10467;MAGAA;4.9300;Economy;Giovanni Rovelli;Italy
10468;KOENE;44.1200;Economy;Philip Cramer;Germany
10469;WHITC;60.1800;Standard;Karl Jablonski;USA
10470;BONAP;64.5600;Standard;Laurence Lebihan;France
10471;BSBEV;45.5900;Economy;Victoria Ashworth;UK
10472;SEVES;4.2000;Economy;Hari Kumar;UK
10473;ISLAT;16.3700;Economy;Helen Bennett;UK
10474;PERIC;83.4900;Standard;Guillermo Fernández;Mexico
10475;SUPRD;68.5200;Standard;Pascale Cartrain;Belgium
10476;HILAA;4.4100;Economy;Carlos Hernández;Venezuela
10477;PRINI;13.0200;Economy;Isabel de Castro;Portugal
10478;VICTE;4.8100;Economy;Mary Saveley;France
10479;RATTC;708.9500;Premium;Paula Wilson;USA
10480;FOLIG;1.3500;Economy;Martine Rancé;France
10481;RICAR;64.3300;Standard;Janete Limeira;Brazil
10482;LAZYK;7.4800;Economy;John Steel;USA
10483;WHITC;15.2800;Economy;Karl Jablonski;USA
10484;BSBEV;6.8800;Economy;Victoria Ashworth;UK
10485;LINOD;64.4500;Standard;Felipe Izquierdo;Venezuela
10486;HILAA;30.5300;Economy;Carlos Hernández;Venezuela
10487;QUEEN;71.0700;Standard;Lúcia Carvalho;Brazil
10488;FRANK;4.9300;Economy;Peter Franken;Germany
10489;PICCO;5.2900;Economy;Georg Pipps;Austria
10490;HILAA;210.1900;Premium;Carlos Hernández;Venezuela
10491;FURIB;16.9600;Economy;Lino Rodriguez;Portugal
10492;BOTTM;62.8900;Standard;Elizabeth Lincoln;Canada
10493;LAMAI;10.6400;Economy;Annette Roulet;France
10494;COMMI;65.9900;Standard;Pedro Afonso;Brazil
10495;LAUGB;4.6500;Economy;Yoshi Tannamuri;Canada
10496;TRADH;46.7700;Economy;Anabela Domingues;Brazil
10497;LEHMS;36.2100;Economy;Renate Messner;Germany
10498;HILAA;29.7500;Economy;Carlos Hernández;Venezuela
10499;LILAS;102.0200;Premium;Carlos González;Venezuela
10500;LAMAI;42.6800;Economy;Annette Roulet;France
10501;BLAUS;8.8500;Economy;Hanna Moos;Germany
10502;PERIC;69.3200;Standard;Guillermo Fernández;Mexico
10503;HUNGO;16.7400;Economy;Patricia McKenna;Ireland
10504;WHITC;59.1300;Standard;Karl Jablonski;USA
10505;MEREP;7.1300;Economy;Jean Fresniere;Canada
10506;KOENE;21.1900;Economy;Philip Cramer;Germany
10507;ANTON;47.4500;Economy;Antonio Moreno;Mexico
10508;OTTIK;4.9900;Economy;Henriette Pfalzheim;Germany
10509;BLAUS;0.1500;Economy;Hanna Moos;Germany
10510;SAVEA;367.6300;Premium;Jose Pavarotti;USA
10511;BONAP;350.6400;Premium;Laurence Lebihan;France
10512;FAMIA;3.5300;Economy;Aria Cruz;Brazil
10513;WANDK;105.6500;Premium;Rita Müller;Germany
10514;ERNSH;789.9500;Premium;Roland Mendel;Austria
10515;QUICK;204.4700;Premium;Horst Kloss;Germany
10516;HUNGO;62.7800;Standard;Patricia McKenna;Ireland
10517;NORTS;32.0700;Economy;Simon Crowther;UK
10518;TORTU;218.1500;Premium;Miguel Angel Paolino;Mexico
10519;CHOPS;91.7600;Standard;Yang Wang;Switzerland
10520;SANTG;13.3700;Economy;Jonas Bergulfsen;Norway
10521;CACTU;17.2200;Economy;Patricio Simpson;Argentina
10522;LEHMS;45.3300;Economy;Renate Messner;Germany
10523;SEVES;77.6300;Standard;Hari Kumar;UK
10524;BERGS;244.7900;Premium;Christina Berglund;Sweden
10525;BONAP;11.0600;Economy;Laurence Lebihan;France
10526;WARTH;58.5900;Standard;Pirkko Koskitalo;Finland
10527;QUICK;41.9000;Economy;Horst Kloss;Germany
10528;GREAL;3.3500;Economy;Howard Snyder;USA
10529;MAISD;66.6900;Standard;Catherine Dewey;Belgium
10530;PICCO;339.2200;Premium;Georg Pipps;Austria
10531;OCEAN;8.1200;Economy;Yvonne Moncada;Argentina
10532;EASTC;74.4600;Standard;Ann Devon;UK
10533;FOLKO;188.0400;Premium;Maria Larsson;Sweden
10534;LEHMS;27.9400;Economy;Renate Messner;Germany
10535;ANTON;15.6400;Economy;Antonio Moreno;Mexico
10536;LEHMS;58.8800;Standard;Renate Messner;Germany
10537;RICSU;78.8500;Standard;Michael Holz;Switzerland
10538;BSBEV;4.8700;Economy;Victoria Ashworth;UK
10539;BSBEV;12.3600;Economy;Victoria Ashworth;UK
10540;QUICK;1007.6400;Premium;Horst Kloss;Germany
10541;HANAR;68.6500;Standard;Mario Pontes;Brazil
10542;KOENE;10.9500;Economy;Philip Cramer;Germany
10543;LILAS;48.1700;Economy;Carlos González;Venezuela
10544;LONEP;24.9100;Economy;Fran Wilson;USA
10545;LAZYK;11.9200;Economy;John Steel;USA
10546;VICTE;194.7200;Premium;Mary Saveley;France
10547;SEVES;178.4300;Premium;Hari Kumar;UK
10548;TOMSP;1.4300;Economy;Karin Josephs;Germany
10549;QUICK;171.2400;Premium;Horst Kloss;Germany
10550;GODOS;4.3200;Economy;José Pedro Freyre;Spain
10551;FURIB;72.9500;Standard;Lino Rodriguez;Portugal
10552;HILAA;83.2200;Standard;Carlos Hernández;Venezuela
10553;WARTH;149.4900;Premium;Pirkko Koskitalo;Finland
10554;OTTIK;120.9700;Premium;Henriette Pfalzheim;Germany
10555;SAVEA;252.4900;Premium;Jose Pavarotti;USA
10556;SIMOB;9.8000;Economy;Jytte Petersen;Denmark
10557;LEHMS;96.7200;Standard;Renate Messner;Germany
10558;AROUT;72.9700;Standard;Thomas Hardy;UK
10559;BLONP;8.0500;Economy;Frédérique Citeaux;France
10560;FRANK;36.6500;Economy;Peter Franken;Germany
10561;FOLKO;242.2100;Premium;Maria Larsson;Sweden
10562;REGGC;22.9500;Economy;Maurizio Moroni;Italy
10563;RICAR;60.4300;Standard;Janete Limeira;Brazil
10564;RATTC;13.7500;Economy;Paula Wilson;USA
10565;MEREP;7.1500;Economy;Jean Fresniere;Canada
10566;BLONP;88.4000;Standard;Frédérique Citeaux;France
10567;HUNGO;33.9700;Economy;Patricia McKenna;Ireland
10568;GALED;6.5400;Economy;Eduardo Saavedra;Spain
10569;RATTC;58.9800;Standard;Paula Wilson;USA
10570;MEREP;188.9900;Premium;Jean Fresniere;Canada
10571;ERNSH;26.0600;Economy;Roland Mendel;Austria
10572;BERGS;116.4300;Premium;Christina Berglund;Sweden
10573;ANTON;84.8400;Standard;Antonio Moreno;Mexico
10574;TRAIH;37.6000;Economy;Helvetius Nagy;USA
10575;MORGK;127.3400;Premium;Alexander Feuer;Germany
10576;TORTU;18.5600;Economy;Miguel Angel Paolino;Mexico
10577;TRAIH;25.4100;Economy;Helvetius Nagy;USA
10578;BSBEV;29.6000;Economy;Victoria Ashworth;UK
10579;LETSS;13.7300;Economy;Jaime Yorres;USA
10580;OTTIK;75.8900;Standard;Henriette Pfalzheim;Germany
10581;FAMIA;3.0100;Economy;Aria Cruz;Brazil
10582;BLAUS;27.7100;Economy;Hanna Moos;Germany
10583;WARTH;7.2800;Economy;Pirkko Koskitalo;Finland
10584;BLONP;59.1400;Standard;Frédérique Citeaux;France
10585;WELLI;13.4100;Economy;Paula Parente;Brazil
10586;REGGC;0.4800;Economy;Maurizio Moroni;Italy
10587;QUEDE;62.5200;Standard;Bernardo Batista;Brazil
10588;QUICK;194.6700;Premium;Horst Kloss;Germany
10589;GREAL;4.4200;Economy;Howard Snyder;USA
10590;MEREP;44.7700;Economy;Jean Fresniere;Canada
10591;VAFFE;55.9200;Standard;Palle Ibsen;Denmark
10592;LEHMS;32.1000;Economy;Renate Messner;Germany
10593;LEHMS;174.2000;Premium;Renate Messner;Germany
10594;OLDWO;5.2400;Economy;Rene Phillips;USA
10595;ERNSH;96.7800;Standard;Roland Mendel;Austria
10596;WHITC;16.3400;Economy;Karl Jablonski;USA
10597;PICCO;35.1200;Economy;Georg Pipps;Austria
10598;RATTC;44.4200;Economy;Paula Wilson;USA
10599;BSBEV;29.9800;Economy;Victoria Ashworth;UK
10600;HUNGC;45.1300;Economy;Yoshi Latimer;USA
10601;HILAA;58.3000;Standard;Carlos Hernández;Venezuela
10602;VAFFE;2.9200;Economy;Palle Ibsen;Denmark
10603;SAVEA;48.7700;Economy;Jose Pavarotti;USA
10604;FURIB;7.4600;Economy;Lino Rodriguez;Portugal
10605;MEREP;379.1300;Premium;Jean Fresniere;Canada
10606;TRADH;79.4000;Standard;Anabela Domingues;Brazil
10607;SAVEA;200.2400;Premium;Jose Pavarotti;USA
10608;TOMSP;27.7900;Economy;Karin Josephs;Germany
10609;DUMON;1.8500;Economy;Janine Labrune;France
10610;LAMAI;26.7800;Economy;Annette Roulet;France
10611;WOLZA;80.6500;Standard;Zbyszek Piestrzeniewicz;Poland
10612;SAVEA;544.0800;Premium;Jose Pavarotti;USA
10613;HILAA;8.1100;Economy;Carlos Hernández;Venezuela
10614;BLAUS;1.9300;Economy;Hanna Moos;Germany
10615;WILMK;0.7500;Economy;Matti Karttunen;Finland
10616;GREAL;116.5300;Premium;Howard Snyder;USA
10617;GREAL;18.5300;Economy;Howard Snyder;USA
10618;MEREP;154.6800;Premium;Jean Fresniere;Canada
10619;MEREP;91.0500;Standard;Jean Fresniere;Canada
10620;LAUGB;0.9400;Economy;Yoshi Tannamuri;Canada
10621;ISLAT;23.7300;Economy;Helen Bennett;UK
10622;RICAR;50.9700;Standard;Janete Limeira;Brazil
10623;FRANK;97.1800;Standard;Peter Franken;Germany
10624;THECR;94.8000;Standard;Liu Wong;USA
10625;ANATR;43.9000;Economy;Ana Trujillo;Mexico
10626;BERGS;138.6900;Premium;Christina Berglund;Sweden
10627;SAVEA;107.4600;Premium;Jose Pavarotti;USA
10628;BLONP;30.3600;Economy;Frédérique Citeaux;France
10629;GODOS;85.4600;Standard;José Pedro Freyre;Spain
10630;KOENE;32.3500;Economy;Philip Cramer;Germany
10631;LAMAI;0.8700;Economy;Annette Roulet;France
10632;WANDK;41.3800;Economy;Rita Müller;Germany
10633;ERNSH;477.9000;Premium;Roland Mendel;Austria
10634;FOLIG;487.3800;Premium;Martine Rancé;France
10635;MAGAA;47.4600;Economy;Giovanni Rovelli;Italy
10636;WARTH;1.1500;Economy;Pirkko Koskitalo;Finland
10637;QUEEN;201.2900;Premium;Lúcia Carvalho;Brazil
10638;LINOD;158.4400;Premium;Felipe Izquierdo;Venezuela
10639;SANTG;38.6400;Economy;Jonas Bergulfsen;Norway
10640;WANDK;23.5500;Economy;Rita Müller;Germany
10641;HILAA;179.6100;Premium;Carlos Hernández;Venezuela
10642;SIMOB;41.8900;Economy;Jytte Petersen;Denmark
10643;ALFKI;29.4600;Economy;Maria Anders;Germany
10644;WELLI;0.1400;Economy;Paula Parente;Brazil
10645;HANAR;12.4100;Economy;Mario Pontes;Brazil
10646;HUNGO;142.3300;Premium;Patricia McKenna;Ireland
10647;QUEDE;45.5400;Economy;Bernardo Batista;Brazil
10648;RICAR;14.2500;Economy;Janete Limeira;Brazil
10649;MAISD;6.2000;Economy;Catherine Dewey;Belgium
10650;FAMIA;176.8100;Premium;Aria Cruz;Brazil
10651;WANDK;20.6000;Economy;Rita Müller;Germany
10652;GOURL;7.1400;Economy;André Fonseca;Brazil
10653;FRANK;93.2500;Standard;Peter Franken;Germany
10654;BERGS;55.2600;Standard;Christina Berglund;Sweden
10655;REGGC;4.4100;Economy;Maurizio Moroni;Italy
10656;GREAL;57.1500;Standard;Howard Snyder;USA
10657;SAVEA;352.6900;Premium;Jose Pavarotti;USA
10658;QUICK;364.1500;Premium;Horst Kloss;Germany
10659;QUEEN;105.8100;Premium;Lúcia Carvalho;Brazil
10660;HUNGC;111.2900;Premium;Yoshi Latimer;USA
10661;HUNGO;17.5500;Economy;Patricia McKenna;Ireland
10662;LONEP;1.2800;Economy;Fran Wilson;USA
10663;BONAP;113.1500;Premium;Laurence Lebihan;France
10664;FURIB;1.2700;Economy;Lino Rodriguez;Portugal
10665;LONEP;26.3100;Economy;Fran Wilson;USA
10666;RICSU;232.4200;Premium;Michael Holz;Switzerland
10667;ERNSH;78.0900;Standard;Roland Mendel;Austria
10668;WANDK;47.2200;Economy;Rita Müller;Germany
10669;SIMOB;24.3900;Economy;Jytte Petersen;Denmark
10670;FRANK;203.4800;Premium;Peter Franken;Germany
10671;FRANR;30.3400;Economy;Carine Schmitt;France
10672;BERGS;95.7500;Standard;Christina Berglund;Sweden
10673;WILMK;22.7600;Economy;Matti Karttunen;Finland
10674;ISLAT;0.9000;Economy;Helen Bennett;UK
10675;FRANK;31.8500;Economy;Peter Franken;Germany
10676;TORTU;2.0100;Economy;Miguel Angel Paolino;Mexico
10677;ANTON;4.0300;Economy;Antonio Moreno;Mexico
10678;SAVEA;388.9800;Premium;Jose Pavarotti;USA
10679;BLONP;27.9400;Economy;Frédérique Citeaux;France
10680;OLDWO;26.6100;Economy;Rene Phillips;USA
10681;GREAL;76.1300;Standard;Howard Snyder;USA
10682;ANTON;36.1300;Economy;Antonio Moreno;Mexico
10683;DUMON;4.4000;Economy;Janine Labrune;France
10684;OTTIK;145.6300;Premium;Henriette Pfalzheim;Germany
10685;GOURL;33.7500;Economy;André Fonseca;Brazil
10686;PICCO;96.5000;Standard;Georg Pipps;Austria
10687;HUNGO;296.4300;Premium;Patricia McKenna;Ireland
10688;VAFFE;299.0900;Premium;Palle Ibsen;Denmark
10689;BERGS;13.4200;Economy;Christina Berglund;Sweden
10690;HANAR;15.8000;Economy;Mario Pontes;Brazil
10691;QUICK;810.0500;Premium;Horst Kloss;Germany
10692;ALFKI;61.0200;Standard;Maria Anders;Germany
10693;WHITC;139.3400;Premium;Karl Jablonski;USA
10694;QUICK;398.3600;Premium;Horst Kloss;Germany
10695;WILMK;16.7200;Economy;Matti Karttunen;Finland
10696;WHITC;102.5500;Premium;Karl Jablonski;USA
10697;LINOD;45.5200;Economy;Felipe Izquierdo;Venezuela
10698;ERNSH;272.4700;Premium;Roland Mendel;Austria
10699;MORGK;0.5800;Economy;Alexander Feuer;Germany
10700;SAVEA;65.1000;Standard;Jose Pavarotti;USA
10701;HUNGO;220.3100;Premium;Patricia McKenna;Ireland
10702;ALFKI;23.9400;Economy;Maria Anders;Germany
10703;FOLKO;152.3000;Premium;Maria Larsson;Sweden
10704;QUEEN;4.7800;Economy;Lúcia Carvalho;Brazil
10705;HILAA;3.5200;Economy;Carlos Hernández;Venezuela
10706;OLDWO;135.6300;Premium;Rene Phillips;USA
10707;AROUT;21.7400;Economy;Thomas Hardy;UK
